id,Country,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13
0,"US | Washington",246752,246752,246752,255396,256435,258767,260752,264012,268607,271595,271595,276686,278544,281202,283777,285970,285970,289939,289939,291989,294017,296087,298249,300198,300198,302141,303482,305289,307809,309801,311597,311597,313335,314692,316294,317878,319371,320146,320146,323214,324025,324706,326159,327167,328047,328047,328047,329746,330807,332007,332904,333794,333794,334962,335693,336565,337653,338822,339773,339773,340708,341441,342236,343090,343868,344532,344532,345731,346403,347131,347884,348516,349425,349425,350506,351109,352012,352907,353792,354782,354782,355986,356536,357499,358606,359666,361115,361115,362385,363235,364486,365762,367115,368403,368403,370017,370652,372170,373212,374794,376230,376230,377952,379056,380339,381725,383894,385549,385549,386920,388718,390214,391839,393594,395312,395312,397417,398509,400149,401718,403040,404709,404709,407191,408607,409933,411075,412483,413980,413980,415705,416930,418020,419382,421757,422665,422665,423382,424050,424903,425848,427494,427494,427494,429499,430415,432170,433701,434783,435849,435849,435849,436984,437677,438544,439263,440057,440057,440889,441591,442098,442815,443454,444166,444166,444722,445155,445686,446124,446682,447203,447203,447724,448142,448945,449491,449983,450404,450404,450930,451248,451595,452072,452483,452483,452483,452483,453665,454068,454650,455103,455103,455103,456709
1,"US | Illinois",963389,963389,975352,979821,984880,991719,999288,1008045,1017322,1024039,1028750,1033526,1040168,1046030,1052682,1059324,1064667,1068829,1072214,1076532,1081354,1086333,1093375,1098527,1101819,1104763,1108430,1112181,1116372,1120528,1123873,1126301,1128613,1130917,1134231,1137559,1141219,1144281,1146346,1148088,1150170,1152995,1155833,1158431,1160523,1162154,1163574,1164922,1166717,1168684,1170902,1172824,1174409,1175655,1177320,1179342,1181226,1183667,1185447,1186696,1187839,1189416,1191520,1193260,1194702,1197267,1198335,1199517,1201027,1202709,1204409,1206172,1207847,1209331,1210113,1212110,1213765,1216090,1218470,1220432,1221863,1223083,1224915,1227708,1229898,1232900,1235578,1237828,1239589,1241993,1244585,1248111,1251346,1254185,1256634,1258736,1261667,1265457,1269196,1273200,1276830,1279772,1282205,1285398,1288934,1292515,1296381,1299575,1302241,1304200,1306787,1309552,1312722,1316091,1318998,1321033,1323170,1325726,1328454,1331848,1335055,1337868,1339728,1341777,1343988,1346398,1348176,1351497,1353226,1354967,1356391,1357953,1359748,1361666,1363507,1365020,1366268,1367214,1368709,1370342,1371884,1373457,1374565,1375508,1376441,1377249,1378388,1379279,1380261,1381063,1381665,1382186,1382587,1383065,1383739,1384365,1384903,1385245,1385489,1385854,1386262,1386628,1387029,1387297,1387595,1387760,1387986,1388338,1388586,1388688,1388688,1388688,1389443,1389634,1389892,1390140,1390432,1390432,1390432,1391179,1391480,1391739,1392196,1392552,1392552,1392552,1392552,1393773,1394235,1394852,1395497,1395497,1395497,1397089
2,"US | California",2325599,2365024,2415246,2452262,2490518,2529480,2567843,2609088,2653925,2704483,2744008,2784716,2832085,2870104,2910044,2948054,2983149,3014428,3043005,3078551,3097632,3122705,3147207,3168028,3187475,3213222,3235045,3251292,3273905,3293531,3310949,3324264,3342647,3355781,3368281,3382932,3399745,3408241,3417982,3432088,3442672,3451176,3461753,3471311,3480228,3485841,3491392,3499871,3506402,3512396,3521225,3527338,3531846,3536946,3543340,3549090,3554629,3559682,3564094,3567582,3573549,3577966,3582320,3587567,3592560,3596760,3599311,3602445,3607891,3611295,3614852,3618976,3620890,3623063,3626027,3628300,3631572,3635179,3638212,3640524,3641876,3645303,3647808,3650638,3653168,3656610,3658714,3660713,3663913,3666266,3668745,3671349,3675191,3676183,3676873,3682861,3685045,3687493,3690031,3693674,3696980,3700471,3704070,3706629,3708716,3711723,3714587,3716579,3718210,3720901,3723446,3725088,3727913,3729116,3731145,3731770,3734562,3736745,3738327,3740038,3742115,3743681,3744937,3747337,3749580,3750644,3753173,3755869,3757115,3758137,3760303,3761779,3763281,3764405,3767052,3768087,3768805,3769827,3771240,3772702,3774494,3775619,3776346,3777077,3778555,3779998,3781120,3786459,3787911,3788713,3789227,3789572,3790976,3791889,3792962,3794129,3794927,3795580,3796776,3797937,3798631,3799978,3801029,3801538,3801728,3803094,3804355,3805098,3806154,3806465,3807726,3808258,3809710,3810808,3811723,3812825,3814010,3814890,3815751,3817372,3818057,3816659,3818326,3819662,3820442,3820921,3821572,3824369,3826508,3829942,3832060,3834068,3835469,3840251
3,"US | Arizona",520207,530267,539150,556384,561542,567474,574680,584593,596251,607345,618546,627541,636100,641729,649040,658186,666901,673882,679282,685699,690544,699942,708041,715357,722574,727895,732643,738561,743232,748260,753379,758404,762145,765083,767379,771796,775622,779093,780637,782887,787268,789245,791106,793532,795323,797270,798608,799740,801055,802198,804116,806163,807967,809474,810658,811968,812907,814528,815707,816782,817821,818670,819954,821108,823384,825119,826454,827237,827800,828630,830655,831832,832094,832743,833381,833878,834323,834607,835030,835765,836253,836737,837244,837849,837987,838558,839334,839888,840492,841078,841811,842192,843132,843838,844302,844910,845480,846230,846900,848202,849021,849561,850236,850846,851265,851725,852570,853050,853761,854453,855155,855804,856451,857347,858076,858737,859487,860169,860772,861653,862497,863571,863927,864579,865280,866022,866623,867443,868382,868830,869472,870155,870624,871168,872022,872496,872978,873446,874065,874605,875195,875766,876411,876732,877182,877682,878338,879102,879909,880466,880466,881450,881454,882369,882691,883037,883314,883821,884195,884609,885042,885412,885834,886404,886752,887146,887569,888005,888337,888701,889342,889727,890111,890533,891023,891649,892236,892711,893147,893560,894106,894875,895347,895873,896518,896960,897010,897910,898283,898908,899829,900636,901439,901561
4,"US | Massachusetts",375178,375178,384181,387662,392568,397202,404053,411601,419721,427135,432791,437042,442529,448447,454402,459927,465726,470140,473441,476526,481040,486180,491452,496093,500037,503688,506183,509503,514134,517252,521360,524025,526423,528662,531117,533921,537208,540827,543934,545303,546896,548946,551396,553812,555895,557777,559350,560576,561936,563976,565794,567764,569284,570546,571783,573885,575993,577980,579680,581148,582543,582844,584743,586310,588209,589931,591356,592344,593607,595264,597073,598859,600616,602308,603464,604666,606377,608318,610481,612857,614668,615874,617695,619816,622226,624986,627556,629531,631031,633081,635580,638339,640779,643232,643232,646220,648023,650573,652966,655278,657578,659569,661101,662699,664943,667066,669282,671250,672657,673974,675162,676758,678386,680007,681570,682784,683665,684630,686243,687638,688973,690279,691172,691735,692589,693608,694769,695745,696540,697398,697872,698427,699187,699908,700337,701490,702039,702338,702776,703292,703897,704345,704796,705142,705370,705598,706027,706272,706559,706783,706945,706945,707131,707265,707523,707723,707940,708083,708195,708316,708459,708579,708710,708836,708875,708933,709012,709080,709187,709263,709354,709395,709443,709476,709544,709622,709682,709738,709769,709810,709873,709966,710049,710138,710138,710138,710138,710428,710519,710629,710830,710830,710830,711162
5,"US | Wisconsin",520438,522523,523652,526245,527871,531890,535999,540508,544618,548134,550260,551942,555249,558020,561160,563866,566275,568166,569335,571268,573119,575688,577991,580003,581377,582477,584041,585600,587580,589384,590997,592140,592921,594217,595756,597475,598902,600016,600782,601391,602256,603255,604683,605785,606651,607213,607639,608418,609189,610055,610974,611789,612240,612712,613419,614260,615225,616018,616886,617367,617700,618307,619087,619942,620663,621275,621654,621842,622444,623150,623801,624508,625045,625359,625690,626364,627060,627743,628428,628969,629407,629787,629787,631301,632123,632945,633663,634133,634453,635314,636041,636908,637801,638590,639227,639553,640704,641642,642757,643951,644901,645514,645964,647091,648094,649178,650081,650949,651545,651948,652879,653670,654510,655410,656061,656526,656932,657872,658696,659600,660450,661209,661685,662069,662893,663668,664461,665210,665842,666180,666401,666974,667637,668208,668805,669427,669668,669804,670362,670876,671445,671909,672266,672422,672591,673023,673388,673738,674003,674003,674003,674420,674480,674739,674939,675150,675150,675150,675448,675650,675780,675971,676075,676075,676075,676276,676406,676442,676551,676673,676673,676673,676820,676931,677048,677186,677252,677252,677252,677396,677531,677622,677740,677859,677859,677859,678008,678048,678232,678459,678604,678604,678604,678944
6,"US | Texas",1772784,1782956,1801181,1816886,1831146,1864173,1884799,1910091,1932554,1951915,1968189,1990204,2014645,2040751,2068637,2094921,2112662,2127111,2138190,2157459,2185554,2208871,2227789,2242473,2250421,2269424,2290621,2309220,2330272,2348188,2363266,2376344,2412627,2431687,2449535,2463424,2478003,2486505,2494861,2504578,2518333,2531060,2543236,2554842,2564055,2568930,2571723,2574648,2579802,2582111,2587712,2593816,2600660,2606513,2617096,2624852,2632666,2643463,2649363,2653013,2660791,2668091,2675712,2683386,2688975,2692691,2695558,2699083,2704712,2710278,2715993,2721511,2724607,2727462,2731814,2737763,2742274,2745694,2749624,2752279,2754616,2757552,2762270,2766259,2769451,2776370,2779464,2782735,2786219,2789428,2791910,2797010,2799375,2801218,2802225,2806908,2811270,2815110,2819600,2822889,2825551,2826977,2831972,2837160,2840869,2843929,2847101,2849072,2850575,2855052,2859892,2864319,2867748,2870407,2872756,2873995,2878438,2882423,2886638,2890257,2893928,2895810,2897110,2901549,2903934,2906362,2909076,2911927,2913480,2914504,2917219,2920043,2922680,2924766,2927195,2928389,2929050,2931500,2934592,2936614,2938261,2939697,2940679,2941389,2944265,2946793,2948986,2950587,2952311,2952861,2953235,2953409,2954084,2956576,2959171,2961257,2962395,2962934,2964109,2966038,2972976,2974886,2976183,2976974,2977373,2978351,2979689,2981826,2982619,2983636,2985388,2985659,2986414,2988388,2989604,2991189,2992812,2994213,2994389,2995223,2997318,3000069,3001682,3003278,3004465,3004684,3005221,3006541,3010929,3013216,3015520,3016891,3017321,3020886
7,"US | Nebraska",166798,167716,168262,169000,169585,171033,172469,173591,174614,175620,176026,176670,177670,179199,180131,180910,180910,181978,182176,182176,184482,185346,186255,186854,187147,187793,188122,188784,189597,189597,190570,190713,190950,191437,192042,192549,193069,193421,193722,193826,194170,194632,195006,195485,197027,197236,197328,197447,197746,198042,198442,198751,198949,199045,199402,199782,200163,200447,200720,200882,200946,201346,201608,201973,202310,202653,203026,203027,203279,203587,203890,204162,204464,204638,204753,205103,205214,205539,205814,206246,206388,206571,206707,206939,207227,207667,208118,208424,208553,208912,209346,209896,211239,211570,211812,211958,212257,212785,213188,213574,214010,214207,214351,214682,215074,215383,215792,216297,216473,216613,217108,217596,217905,218197,218580,218732,218832,219090,219341,219559,219826,220032,220127,220225,220481,220720,220933,221153,221347,221434,221500,221911,222088,222247,222335,222335,222335,222512,222612,222676,222780,222884,222884,222884,223054,223126,223197,223243,223304,223304,223304,223368,223404,223434,223517,223558,223558,223558,223648,223685,223714,223749,223792,223792,223792,223847,223888,223931,223960,223986,223986,223986,224065,224103,224156,224206,224226,224226,224226,224330,224404,224488,224488,224682,224682,224682,224682,224873,224873,225069,225171,225171,225171,225171
8,"US | Utah",276612,276612,281654,283473,285633,288951,292720,297317,301110,303723,305999,307483,309629,314817,317559,320102,322252,323837,324919,326221,328380,330469,333118,334889,336405,337264,338675,340684,342445,343962,345430,346624,347208,348409,350000,351273,352489,353700,354608,355122,356040,357339,358581,359641,360584,361294,361756,362347,363248,364399,365256,366034,366735,367073,367789,368601,369433,370084,370770,371235,371492,371979,372708,373319,373868,374438,374850,375110,375669,376327,376973,377492,377983,378379,378600,379081,379780,380340,380787,381254,381629,381788,382171,382733,383260,383713,384173,384562,384756,385127,385641,386128,386550,386997,387341,387514,387814,388426,388909,389353,389760,390104,390289,390647,391177,391633,392096,392509,392757,392957,393272,393862,394334,394678,395150,395431,395677,396004,396522,396985,397323,397733,398012,398240,398499,398979,399374,399760,400120,400352,400559,400783,401251,401669,402005,402325,402567,402731,402988,403418,403684,403984,404246,404477,404625,404810,405078,405387,405659,405851,406027,406170,406282,406482,406825,407113,407419,407642,407816,408068,408428,408741,409007,409364,409558,409727,409964,410377,410746,411071,411361,411610,411770,412019,412546,413008,413317,413668,413950,414204,414565,415139,415679,416110,416110,416110,416110,417259,417653,418321,418976,418976,418976,420214
9,"US | Oregon",113909,113909,116348,117745,118453,119488,120223,121085,122847,124476,125683,126607,127780,129109,130246,131258,132412,133205,133851,134468,135142,135973,136839,137600,138168,138587,139355,140063,140783,141729,142416,142416,143373,143978,144605,145320,146137,146741,147122,147419,147932,148475,149082,149576,150034,150281,150464,150875,151257,151713,152190,152711,152818,153135,153645,154062,154554,154878,155315,155597,155787,156037,156287,156673,156884,157079,157285,157515,158007,158291,158644,159037,159402,159617,159790,160051,160288,160622,160994,161320,161531,161706,162016,162383,162804,163294,163702,163952,164164,164570,165012,165524,166013,166480,166882,167128,167658,168128,168795,169338,170085,170568,170850,171398,172206,172931,173626,174501,175121,175592,176157,177134,178110,179120,179930,180700,181321,182040,182916,183830,184812,185597,186344,186878,187611,188417,189162,189986,190804,191405,191774,192416,193014,193732,194542,195179,195684,195884,196392,196788,197356,197851,198356,198689,198972,199391,199784,200210,200632,201005,201260,201475,201650,201998,202247,202680,202995,203252,203374,203671,203933,204291,204587,204866,205030,205154,205459,205698,205988,206299,206581,206777,206851,207106,207333,207558,207787,207999,208137,208222,208446,208640,208836,209037,209037,209037,209037,209494,209764,209974,210230,210230,210230,210729
